week,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1,27,47,35,38,43,33,4,8,48,46,2,40,23,29,6,24,31,41,10,13,1,18,5,42,21,37,14,49,12,22,45,15,34,9,17,44,36,11,16,39,19,26,50,32,3,20,25,28,7,30
2,28,47,35,38,43,33,4,8,48,46,2,40,23,29,6,24,32,41,10,13,1,19,5,42,21,37,14,49,12,22,45,15,34,9,17,44,36,11,16,39,18,26,50,31,3,20,25,27,7,30
3,18,26,34,43,48,42,5,10,44,32,12,40,39,27,16,23,47,33,2,20,1,35,19,28,7,30,6,50,21,17,46,22,29,3,31,25,49,11,36,37,4,14,38,24,15,13,41,45,9,8
4,25,7,38,26,50,39,15,6,48,43,8,14,46,34,16,17,37,29,4,30,13,44,27,20,23,9,10,31,11,35,21,47,42,1,45,22,36,40,12,32,2,28,49,18,5,33,41,19,24,3
5,27,6,37,21,50,25,2,11,47,41,14,12,46,36,20,18,22,34,1,29,40,43,30,24,28,8,13,16,7,39,19,49,42,4,44,26,23,45,10,31,5,38,48,15,9,32,35,17,33,3
6,23,4,38,24,50,34,20,8,47,39,14,12,46,35,18,15,31,33,10,32,37,43,30,19,25,7,9,17,6,40,21,49,42,2,45,22,28,44,11,27,3,36,48,13,5,26,41,16,29,1
7,34,6,2,24,50,32,21,9,47,42,13,15,46,38,20,19,29,37,10,30,36,41,28,25,31,12,14,18,8,40,22,48,45,4,43,27,23,44,11,33,7,1,49,16,5,35,39,17,26,3
8,22,12,43,32,50,45,5,7,44,27,13,15,40,33,24,11,46,29,4,38,35,36,25,16,23,19,2,28,18,42,30,49,39,9,47,3,37,41,20,21,6,34,31,10,8,14,48,26,17,1
9,26,5,39,20,50,21,23,4,47,36,13,9,45,34,19,15,28,29,17,25,44,43,30,22,35,6,14,10,7,40,18,49,42,2,41,27,24,46,12,32,3,38,48,11,8,31,33,16,37,1
10,45,1,32,36,28,26,42,12,50,48,5,14,30,34,15,19,38,43,24,33,18,29,13,40,27,10,3,20,11,21,23,47,39,2,44,17,31,41,7,22,8,46,49,6,9,37,35,25,16,4
11,37,3,35,23,50,20,29,7,48,42,10,13,45,34,17,15,31,36,18,25,41,40,24,27,30,5,11,14,8,38,19,49,43,2,44,21,22,46,12,26,4,39,47,9,6,33,32,16,28,1
12,35,5,17,27,50,29,22,3,48,47,13,19,45,42,6,23,32,40,15,26,1,38,14,30,39,12,16,25,9,41,24,31,44,7,46,28,33,43,10,34,11,37,49,20,2,36,18,21,8,4
13,35,5,17,27,50,29,22,3,48,47,13,19,45,42,6,23,32,40,15,26,1,38,14,30,39,12,16,25,9,41,24,31,44,7,46,28,33,43,10,34,11,37,49,20,2,36,18,21,8,4
14,36,5,19,28,50,27,22,3,48,46,14,21,45,42,6,20,31,41,17,26,2,33,12,30,38,13,15,25,11,40,24,37,44,7,47,29,32,43,9,34,10,39,49,16,1,35,18,23,8,4
15,36,5,17,27,50,29,22,3,48,47,12,19,45,42,6,23,31,40,15,26,2,35,14,30,39,13,16,25,10,41,24,32,44,7,46,28,33,43,9,34,11,37,49,21,1,38,18,20,8,4
16,35,5,17,27,50,29,22,3,48,47,12,19,45,42,6,23,32,40,15,26,1,36,14,30,39,13,16,25,10,41,24,31,44,7,46,28,33,43,9,34,11,37,49,21,2,38,18,20,8,4
17,35,5,17,27,50,29,22,3,48,47,12,19,45,42,6,23,32,40,15,26,1,38,14,30,39,13,16,25,10,41,24,31,44,7,46,28,33,43,9,34,11,36,49,21,2,37,18,20,8,4
18,35,5,17,27,50,29,22,3,48,47,13,19,45,42,6,23,32,40,15,26,1,38,14,30,39,12,16,25,10,41,24,31,44,7,46,28,33,43,9,34,11,36,49,20,2,37,18,21,8,4
19,35,5,17,27,50,29,22,3,48,47,13,19,45,42,6,23,32,40,15,26,1,38,14,30,39,12,16,25,10,41,24,31,44,7,46,28,33,43,9,34,11,36,49,20,2,37,18,21,8,4
20,35,5,17,27,50,29,22,3,48,47,13,19,45,42,6,23,32,40,15,26,1,38,14,30,39,12,16,25,10,41,24,31,44,7,46,28,33,43,9,34,11,36,49,20,2,37,18,21,8,4
21,35,5,17,27,50,29,22,3,48,47,13,19,45,42,6,23,32,40,15,26,1,38,14,30,39,12,16,25,10,41,24,31,44,7,46,28,33,43,9,34,11,36,49,20,2,37,18,21,8,4
22,32,1,21,29,49,28,24,5,50,43,15,16,41,31,12,17,40,30,19,35,22,38,18,37,36,4,8,20,9,39,7,47,45,10,46,26,25,44,13,34,6,42,48,11,2,33,23,27,14,3
23,35,5,17,28,50,29,23,4,48,47,14,18,45,42,8,22,32,39,16,26,1,37,15,30,40,11,13,25,6,41,24,31,44,7,46,27,33,43,9,34,12,38,49,20,2,36,19,21,10,3
24,31,1,34,21,50,26,22,6,49,41,9,11,44,35,20,18,27,25,12,29,37,43,28,19,33,8,13,17,10,40,15,47,42,3,45,23,24,46,7,30,5,38,48,14,4,39,36,16,32,2
